SERVICELEVEL;CALENDAR;OPERATINGDAY;PIECETYPE;STARTINGDATE;ENDINGDATE;LINE;LINEBASIN;LINECOMPANY;PATTERN;DIRECTION;TRIPCODE;TRIPCOMPANYCODE;ACTIVITYNUMBER;LENGTH;VEHBLOCKID;DEPOT;VEHICLETYPE;VBLINE;VB_LINEBASIN;VB_LINECOMPANY;PIECEORDER;ARRIVALTIME;DEPARTURETIME;NODE;NODEBASIN;NODECOMPANY;PASSAGEORDER;BLOCK;LINE_EXCEL;EXCEL_NAME;DUTY;SOURCE_FILE
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36K;KTEL_S;Def;2751;1;932526418;932526418;932526418;17512.9;;;;;;;;09:20:00;09:20:00;N36080;OSETH;Def;2;3603;36Κ;line36 (2025).xlsx;3603_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36K;KTEL_S;Def;2751;1;932526418;932526418;932526418;17512.9;;;;;;;;09:40:00;09:40:00;N1407;OSETH;Def;3;3603;36Κ;line36 (2025).xlsx;3603_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36;KTEL_S;Def;2743;1;399120394;399120394;399120394;26076.68;;;;;;;;09:20:00;09:20:00;N1407;OSETH;Def;1;3601;36;line36 (2025).xlsx;3601_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36;KTEL_S;Def;2743;1;399120394;399120394;399120394;26076.68;;;;;;;;09:50:00;09:50:00;N15094;OSETH;Def;2;3601;36;line36 (2025).xlsx;3601_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36;KTEL_S;Def;2743;1;399120394;399120394;399120394;26076.68;;;;;;;;10:20:00;10:20:00;N1407;OSETH;Def;3;3601;36;line36 (2025).xlsx;3601_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36T;KTEL_S;Def;2754;1;555726921;555726921;555726921;10332.5;;;;;;;;09:35:00;09:35:00;N1407;OSETH;Def;1;3602;36Τ;line36 (2025).xlsx;3602_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36T;KTEL_S;Def;2754;1;555726921;555726921;555726921;10332.5;;;;;;;;09:45:00;09:45:00;N1434;OSETH;Def;2;3602;36Τ;line36 (2025).xlsx;3602_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36T;KTEL_S;Def;2754;1;555726921;555726921;555726921;10332.5;;;;;;;;09:55:00;09:55:00;N1407;OSETH;Def;3;3602;36Τ;line36 (2025).xlsx;3602_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36N;KTEL_S;Def;2752;1;917401804;917401804;917401804;13051.94;;;;;;;;09:45:00;09:45:00;N1407;OSETH;Def;1;3603;36Ν;line36 (2025).xlsx;3603_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36N;KTEL_S;Def;2752;1;917401804;917401804;917401804;13051.94;;;;;;;;09:55:00;09:55:00;N1434;OSETH;Def;2;3603;36Ν;line36 (2025).xlsx;3603_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv
