PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME
Day Type 1;H_Depot;8703;928633;DeadHead;;;;;;N38155;OSETH;Def;H_Depot;KTEL_H;Def;14:30:00;14:31:00;
Day Type 1;H_Depot;8703;928633;DeadHead;;;;;;H_Depot;KTEL_H;Def;N15077;OSETH;Def;15:49:00;15:50:00;
Day Type 1;H_Depot;8703;928633;Revenue;87L;KTEL_H;Def;9395919;17973790;N15077;OSETH;Def;N38155;OSETH;Def;15:50:00;16:25:00;
Day Type 1;H_Depot;8703;928633;Revenue;87A;KTEL_H;Def;9395918;17973788;N38155;OSETH;Def;N15077;OSETH;Def;16:30:00;17:10:00;
Day Type 1;H_Depot;8703;928633;Revenue;87A;KTEL_H;Def;9395963;17973988;N15077;OSETH;Def;N38155;OSETH;Def;17:30:00;18:10:00;
Day Type 1;H_Depot;8703;928633;Revenue;87E;KTEL_H;Def;9396023;17974246;N38155;OSETH;Def;N15077;OSETH;Def;18:10:00;18:40:00;
Day Type 1;H_Depot;8703;928633;Revenue;87A;KTEL_H;Def;9396016;17974208;N15077;OSETH;Def;N38155;OSETH;Def;18:50:00;19:30:00;
Day Type 1;H_Depot;8703;928633;Revenue;87H;KTEL_H;Def;9395949;17973938;N38155;OSETH;Def;N15077;OSETH;Def;19:30:00;20:10:00;
Day Type 1;H_Depot;8703;928633;Revenue;87A;KTEL_H;Def;9395988;17974098;N15077;OSETH;Def;N38155;OSETH;Def;20:15:00;20:50:00;
Day Type 1;H_Depot;8703;928633;Revenue;87A;KTEL_H;Def;9395976;17974040;N38155;OSETH;Def;N15077;OSETH;Def;20:50:00;21:25:00;
Day Type 1;H_Depot;8703;928633;Revenue;87E;KTEL_H;Def;9396006;17974174;N15077;OSETH;Def;N38155;OSETH;Def;21:30:00;22:00:00;
Day Type 1;H_Depot;8703;928633;Revenue;87A;KTEL_H;Def;9395960;17973976;N38155;OSETH;Def;N15077;OSETH;Def;22:00:00;22:40:00;
Day Type 1;H_Depot;8703;928633;DeadHead;;;;;;N15077;OSETH;Def;H_Depot;KTEL_H;Def;22:40:00;22:41:00;
Day Type 1;H_Depot;8704;928634;DeadHead;;;;;;H_Depot;KTEL_H;Def;N15077;OSETH;Def;05:09:00;05:10:00;
Day Type 1;H_Depot;8704;928634;Revenue;87B;KTEL_H;Def;9395978;17974050;N15077;OSETH;Def;N38155;OSETH;Def;05:10:00;06:50:00;
Day Type 1;H_Depot;8704;928634;Revenue;87E;KTEL_H;Def;9395981;17974070;N38155;OSETH;Def;N15077;OSETH;Def;06:50:00;07:20:00;
Day Type 1;H_Depot;8704;928634;Revenue;87A;KTEL_H;Def;9395985;17974088;N15077;OSETH;Def;N38155;OSETH;Def;07:30:00;08:10:00;
Day Type 1;H_Depot;8704;928634;Revenue;87A;KTEL_H;Def;9396040;17974324;N38155;OSETH;Def;N15077;OSETH;Def;08:10:00;08:50:00;
Day Type 1;H_Depot;8704;928634;Revenue;87R;KTEL_H;Def;9396011;17974192;N15077;OSETH;Def;N38155;OSETH;Def;08:55:00;09:35:00;
Day Type 1;H_Depot;8704;928634;Revenue;87E;KTEL_H;Def;9395921;17973794;N38155;OSETH;Def;N15077;OSETH;Def;09:35:00;10:05:00;
Day Type 1;H_Depot;8704;928634;Revenue;87A;KTEL_H;Def;9395964;17973990;N15077;OSETH;Def;N38155;OSETH;Def;10:25:00;11:05:00;
Day Type 1;H_Depot;8704;928634;Revenue;87E;KTEL_H;Def;9395911;17973756;N38155;OSETH;Def;N15077;OSETH;Def;11:05:00;11:35:00;
Day Type 1;H_Depot;8704;928634;Revenue;87L;KTEL_H;Def;9395935;17973858;N15077;OSETH;Def;N38155;OSETH;Def;12:15:00;12:50:00;
Day Type 1;H_Depot;8704;928634;Revenue;87A;KTEL_H;Def;9395914;17973768;N38155;OSETH;Def;N15077;OSETH;Def;12:55:00;13:35:00;
Day Type 1;H_Depot;8704;928634;Revenue;87R;KTEL_H;Def;9395937;17973866;N15077;OSETH;Def;N38155;OSETH;Def;13:40:00;14:20:00;
Day Type 1;H_Depot;8704;928634;Revenue;87H;KTEL_H;Def;9395971;17974012;N38155;OSETH;Def;N15077;OSETH;Def;14:20:00;14:55:00;
